loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
6500, 36 months,9.67,208.74,B,B1,Lead Painter,5 years,MORTGAGE,41000,Source Verified,Apr-14,Charged Off,credit_card,Credit card refinancing,11.42,Oct-81,8,0,3540,28.5,20,f,INDIVIDUAL,3,0,"2342 William Trail
New Jason, VA 70466"
34350, 60 months,28.99,1090.13,G,G5,Quality improvement data analyst,3 years,RENT,84000,Verified,Mar-16,Fully Paid,debt_consolidation,Debt consolidation,16.86,Sep-03,11,1,8400,85.7,23,w,INDIVIDUAL,0,1,"5050 Gomez Mill Suite 557
East Adamton, SD 22690"
3500, 36 months,8.18,109.97,B,B1,Project manager,1 year,MORTGAGE,85000,Verified,Apr-15,Fully Paid,home_improvement,Home improvement,8.7,Jun-05,12,0,8142,18,28,w,INDIVIDUAL,2,0,"847 Ashley Forest
Hallberg, KY 70466"
3500, 36 months,14.65,120.73,C,C5,Owner ,10+ years,MORTGAGE,28000,Source Verified,Mar-15,Charged Off,car,Car financing,4.89,Feb-94,4,1,3995,49.9,6,w,INDIVIDUAL,1,1,"26728 Chambers Mount Suite 568
West Keithborough, OH 93700"
5400, 36 months,11.99,179.34,B,B5,Clinical account specialist,9 years,RENT,65000,Source Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,17.67,Nov-97,14,0,13958,51.1,39,w,INDIVIDUAL,2,0,"152 Lopez Divide
West Elizabethmouth, NC 29597"
14000, 36 months,9.67,449.58,B,B1,Technical Director,10+ years,RENT,98593.24,Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,9.64,Dec-84,6,0,10084,37.8,26,f,INDIVIDUAL,0,0,"Unit 0197 Box 0235
DPO AE 05113"
12250, 36 months,10.99,401,B,B2,Administrative Support,1 year,RENT,40000,Not Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,21.99,Jul-03,12,0,3624,15.9,21,w,INDIVIDUAL,0,0,"42853 Kathryn Gardens Suite 621
Port Jacobside, DC 70466"
28625, 36 months,11.99,950.63,B,B3,Teacher,10+ years,MORTGAGE,60000,Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,24.6,Nov-91,11,0,19021,47.6,25,w,INDIVIDUAL,6,0,"2090 Higgins Lane Suite 171
Cannonbury, OK 48052"
13600, 36 months,12.99,458.18,C,C1,Sales,9 years,MORTGAGE,64000,Not Verified,May-14,Fully Paid,credit_card,Credit card refinancing,28.8,May-94,18,1,15409,67.9,52,w,INDIVIDUAL,6,1,"94898 Jordan Land Suite 599
Wilkinsonview, AZ 29597"
14675, 36 months,15.61,513.11,C,C3,"Executive Director, IT and Datacenter",8 years,RENT,130000,Verified,Oct-13,Fully Paid,debt_consolidation,Debt Destruction,8.56,Oct-01,6,0,11120,55.6,11,f,INDIVIDUAL,0,0,"6993 Lowe Junctions
Amandaland, TX 22690"
15000, 36 months,9.49,480.43,B,B2,Security Officer,2 years,RENT,52000,Verified,Jan-15,Fully Paid,credit_card,Credit card refinancing,10.06,Nov-06,19,0,5260,21.5,27,f,INDIVIDUAL,0,0,"214 Cohen River
New Michelle, OH 22690"
13300, 36 months,10.49,432.22,B,B3,Metrics Consultant,10+ years,MORTGAGE,58000,Source Verified,Dec-14,Charged Off,debt_consolidation,Debt consolidation,23.98,Aug-00,8,0,12716,64.9,18,f,INDIVIDUAL,3,0,"22810 John Glen Suite 320
New Shane, CO 70466"
23050, 60 months,16.29,564.09,D,D2,traction power inspector,3 years,RENT,97000,Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,7.36,Oct-04,5,0,3798,66.6,16,w,INDIVIDUAL,0,0,"74470 Kimberly Terrace Suite 534
Jamieton, NV 30723"
11325, 60 months,25.99,339.01,G,G4,Provisioning Analyst,9 years,MORTGAGE,38000,Source Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,17.34,Sep-04,18,0,7498,70.7,32,f,INDIVIDUAL,0,0,"9915 Rachel Highway
Carlosville, VT 11650"
20000, 36 months,19.52,738.39,D,D4,Friedrich Petzel Gallery,< 1 year,RENT,60000,Verified,Sep-13,Fully Paid,debt_consolidation,Debt consolidation,11.96,Jun-03,10,0,15195,91,25,f,INDIVIDUAL,0,0,"06141 Dennis Brooks
Port Calvin, NV 05113"
5800, 36 months,16.29,204.75,D,D1,,,OWN,18200,Verified,Mar-16,Fully Paid,debt_consolidation,Debt consolidation,12.8,Jun-11,5,0,6808,61.9,18,w,INDIVIDUAL,0,0,"5926 Rodriguez Plains
Markborough, VA 22690"
25900, 60 months,16.29,633.84,D,D1,Ferry Terminal Manager I,7 years,RENT,67000,Not Verified,Mar-16,Fully Paid,debt_consolidation,Debt consolidation,31.72,Mar-01,17,1,2874,6.5,21,w,INDIVIDUAL,0,1,"3975 Martinez Gateway
Port Scott, WA 22690"
8000, 36 months,12.69,268.36,C,C2,mill scheduler,10+ years,RENT,98000,Not Verified,May-15,Fully Paid,debt_consolidation,Debt consolidation,21.14,Apr-88,10,0,7969,59.9,16,f,INDIVIDUAL,0,0,"7218 Jonathon Route
Wagnerland, MT 00813"
25000, 60 months,12.49,562.33,B,B5,Director Information Technology,10+ years,RENT,170000,Verified,Sep-14,Fully Paid,major_purchase,Major purchase,1.41,Sep-98,10,0,2390,5.4,13,f,INDIVIDUAL,0,0,"381 Garcia Hollow
West Oliviaport, AK 05113"
7500, 36 months,24.08,294.57,F,F2,Site Manager,10+ years,MORTGAGE,90000,Verified,Jul-14,Charged Off,small_business,Business,25.41,May-04,11,0,12087,77.5,13,w,INDIVIDUAL,2,0,"69401 Anderson Shoals Apt. 412
North Hailey, SD 86630"
11000, 36 months,11.44,362.43,B,B4,Teacher,10+ years,RENT,87000,Source Verified,Nov-14,Fully Paid,credit_card,Credit card refinancing,13.77,Aug-88,8,1,9814,73,38,f,INDIVIDUAL,1,1,"262 Heath Hill
West Brittany, WI 30723"
18000, 36 months,12.12,598.89,B,B3,USAF,10+ years,RENT,74000,Not Verified,Apr-13,Fully Paid,debt_consolidation,Consolidation,22.28,Apr-98,8,0,12971,56.4,14,f,INDIVIDUAL,0,0,"Unit 5221 Box 9962
DPO AP 30723"
21000, 36 months,9.67,674.37,B,B1,Truck driver,10+ years,OWN,85000,Verified,Feb-14,Fully Paid,debt_consolidation,Debt consolidation,29.73,Apr-00,11,0,13151,58.2,39,f,INDIVIDUAL,0,0,"0431 Sarah Cove Suite 904
Paceton, RI 22690"
4550, 36 months,8.39,143.41,B,B1,Master Chief,10+ years,MORTGAGE,84000,Source Verified,Jun-16,Fully Paid,credit_card,Credit card refinancing,28.32,Mar-94,11,0,20888,52.5,30,w,INDIVIDUAL,2,0,"1289 Melanie Shore Suite 059
New Angelatown, MI 30723"
18000, 36 months,11.14,590.5,B,B2,Palm Springs Unified School District,2 years,MORTGAGE,42000,Not Verified,Jun-13,Fully Paid,debt_consolidation,Debt Consolidation,11.95,Aug-04,16,0,13072,46.4,24,f,INDIVIDUAL,1,0,"7788 Michelle Keys
Port Nathan, OR 48052"
35000, 36 months,12.99,1179.12,C,C2,Lawyer Partner,10+ years,MORTGAGE,350000,Verified,Feb-16,Fully Paid,home_improvement,Home improvement,8.19,Sep-92,10,0,216194,45.4,43,w,INDIVIDUAL,2,0,"90980 Melissa Cliffs Suite 259
Port Angelica, IL 70466"
15000, 36 months,12.99,505.34,B,B5,Operator,< 1 year,RENT,65000,Not Verified,Mar-14,Fully Paid,car,Car financing,10.14,Dec-92,5,0,3773,31.2,9,f,INDIVIDUAL,0,0,"14623 Collins Heights Suite 803
Lake Angelburgh, WY 00813"
10000, 36 months,13.05,337.19,B,B5,sperry rail,1 year,RENT,50000,Not Verified,Aug-13,Fully Paid,debt_consolidation,debt payment,11.88,Dec-06,7,0,9670,54.3,19,w,INDIVIDUAL,0,0,"309 Emily Ridges
Donnahaven, ME 70466"
10000, 36 months,13.98,341.68,C,C3,Billing Manager,10+ years,MORTGAGE,100000,Not Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,19.5,Nov-98,20,0,26117,86.5,38,f,INDIVIDUAL,4,0,"858 Mendez Wall Suite 366
Port Shawn, NV 29597"
15000, 36 months,18.25,544.17,D,D3,Bank of America,< 1 year,RENT,75000,Source Verified,Apr-12,Charged Off,other,"	other",17.2,Oct-97,8,0,10432,31.3,26,f,INDIVIDUAL,1,0,"38013 Bell Points Suite 050
Lake Laurenmouth, KY 11650"
2000, 36 months,14.98,69.32,C,C3,Teacher,5 years,RENT,50000,Not Verified,Jan-14,Fully Paid,debt_consolidation,Debt Consolidation,14.57,Mar-89,13,0,26528,56.7,17,f,INDIVIDUAL,0,0,"PSC 9860, Box 1451
APO AA 48052"
3600, 36 months,19.52,132.92,E,E2,Police officer,8 years,RENT,110000,Not Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,21.3,Oct-99,5,0,5991,50.3,20,f,INDIVIDUAL,0,0,"4616 Cameron Harbor Apt. 602
Marthashire, ID 70466"
20000, 36 months,11.99,664.2,B,B5,Aviation Safety Inspector,6 years,MORTGAGE,98000,Source Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,31.89,Feb-88,19,0,86411,84.3,37,f,INDIVIDUAL,12,0,"2390 Miller Burgs
New Steven, VA 29597"
15000, 36 months,13.98,512.52,C,C3,Internet Sales,5 years,RENT,120000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,9.88,Nov-93,11,2,8715,15,39,f,INDIVIDUAL,7,1,"5614 Garcia Trafficway
South Donnaville, WA 05113"
8000, 36 months,13.98,273.35,C,C3,Manager,10+ years,MORTGAGE,85000,Not Verified,Jun-14,Fully Paid,debt_consolidation,Debt consolidation,17.61,Jun-90,14,0,22152,74.1,39,w,INDIVIDUAL,2,0,"PSC 3147, Box 2767
APO AE 48052"
24000, 36 months,17.57,862.49,D,D2,RN,10+ years,OWN,85000,Source Verified,Apr-14,Charged Off,debt_consolidation,Debt consolidation,24.12,Jul-82,18,0,42035,77.4,40,w,INDIVIDUAL,2,0,"5009 Jenkins Mountains Apt. 440
Michaelmouth, RI 22690"
12400, 36 months,16.59,439.57,D,D1,Sales / Design,10+ years,MORTGAGE,112000,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,15.18,Dec-84,8,1,2506,26.1,38,f,INDIVIDUAL,3,1,"772 Young Harbor
Port Brooke, LA 22690"
15000, 36 months,11.26,492.95,B,B2,NFI Industries,< 1 year,RENT,140000,Source Verified,May-09,Fully Paid,credit_card,Lesson Learned Credit Cards,13.52,Nov-95,10,0,29790,15.6,31,f,INDIVIDUAL,,0,"15616 Moran Overpass
New Beth, PA 70466"
8500, 36 months,10.15,274.88,B,B2,postmaster,10+ years,MORTGAGE,70000,Not Verified,May-14,Fully Paid,debt_consolidation,Debt consolidation,16.25,Mar-97,6,0,12509,70.7,18,w,INDIVIDUAL,3,0,"2856 Oneal Street
Lauraview, IN 70466"
25000, 36 months,11.99,830.24,C,C1,Bottler,10+ years,RENT,100000,Not Verified,Dec-15,Fully Paid,debt_consolidation,Debt consolidation,13.33,Oct-94,7,0,7851,68.9,33,w,INDIVIDUAL,3,0,"4196 Jones Plain Apt. 445
Tinaside, MN 70466"
20000, 60 months,25.89,597.51,G,G3,Fairleigh Dickinson University,2 years,MORTGAGE,52000,Verified,Jul-13,Fully Paid,debt_consolidation,helful loan,23.68,Dec-97,15,0,9310,76.9,39,w,INDIVIDUAL,0,0,"11591 Susan Inlet
Garrisonchester, NH 29597"
22950, 60 months,17.57,577.43,D,D4,Office Administrator,10+ years,OWN,50000,Source Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,24.15,Jul-98,9,0,4678,36.5,22,w,INDIVIDUAL,0,0,"0784 Lindsey Spur Apt. 315
Dawnview, MI 22690"
15000, 36 months,11.14,492.08,B,B2,U.S. Postal Service,10+ years,MORTGAGE,53000,Not Verified,Feb-13,Fully Paid,debt_consolidation,consolidation,7.54,Nov-92,8,1,13033,58.7,25,f,INDIVIDUAL,2,1,"5635 Jennifer Cove
New Hannahmouth, NM 00813"
9000, 36 months,14.48,309.71,C,C5,,,OWN,25000,Verified,Dec-15,Charged Off,debt_consolidation,Debt consolidation,14.4,Dec-03,4,0,2149,31.6,9,w,INDIVIDUAL,2,0,"691 Newman Spring Suite 120
East Kellyhaven, NJ 22690"
15100, 36 months,21.99,576.6,F,F1,machinist,5 years,RENT,42000,Source Verified,Jun-15,Charged Off,debt_consolidation,Debt consolidation,20.26,Jun-02,10,1,3809,34,15,f,INDIVIDUAL,1,1,"84532 Lopez Mission
Lake Anthonyton, NY 48052"
30000, 36 months,12.12,998.15,B,B3,The Salvation Army,10+ years,MORTGAGE,95000,Verified,Apr-12,Fully Paid,home_improvement,Home Improvement,4.7,May-91,5,0,13589,62.4,10,f,INDIVIDUAL,1,0,"001 Joshua Valleys
Jefferybury, AK 48052"
11500, 60 months,23.99,330.77,F,F3,warehouse,< 1 year,RENT,36000,Source Verified,Oct-15,Charged Off,credit_card,Credit card refinancing,3.97,Oct-11,6,0,4227,48.6,6,w,INDIVIDUAL,0,0,"7459 Deborah Fort
North Danaview, NC 86630"
1200, 36 months,5.99,36.51,A,A2,Delta Nursing and Rehabilitation,< 1 year,RENT,21600,Not Verified,Jun-11,Fully Paid,other,Moving and Debt Consolidation,22.28,Nov-00,10,0,229,15.3,35,f,INDIVIDUAL,,0,"5751 John Groves Suite 100
New Gabrielborough, FL 05113"
16000, 60 months,17.57,402.57,D,D2,sales,8 years,RENT,56000,Source Verified,Feb-14,Charged Off,debt_consolidation,Debt consolidation,31.55,Dec-00,16,0,24840,48,20,w,INDIVIDUAL,0,0,"0506 Payne Common Apt. 233
West Wendy, WI 30723"
4000, 36 months,15.61,139.86,D,D1,PUBLIC HEALTH NURSE,4 years,RENT,39500,Not Verified,Jul-14,Charged Off,debt_consolidation,Debt consolidation,28.87,Apr-98,9,1,3788,34,20,w,INDIVIDUAL,0,1,"99148 Christina Forks
Lake Natalie, MT 22690"
7475, 36 months,16.29,263.88,D,D2,OPERATION MANANGER ,10+ years,MORTGAGE,100000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,11.15,Apr-01,8,1,2596,36,32,w,INDIVIDUAL,6,1,"Unit 8536 Box 6257
DPO AA 29597"
9600, 36 months,11.49,316.53,B,B5,Manager,5 years,RENT,45000,Verified,Aug-16,Fully Paid,credit_card,Credit card refinancing,21.01,Sep-99,6,0,12232,84.9,16,w,INDIVIDUAL,0,0,"0322 Connie View
North Kenneth, ID 30723"
3500, 36 months,14.16,119.9,C,C2,BOOKKEEPER,< 1 year,OWN,39648,Source Verified,Mar-14,Fully Paid,other,Other,15.13,Nov-99,6,1,2776,46.3,14,w,INDIVIDUAL,0,0,"11635 Christopher Isle Suite 957
Chavezville, OR 30723"
8975, 36 months,14.65,309.59,C,C5,Accounting,7 years,RENT,36500,Source Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,10.33,Sep-07,10,0,2634,21.2,16,f,INDIVIDUAL,0,0,"1031 Ruiz Brooks
Lake Mariofurt, NH 70466"
19800, 36 months,14.47,681.25,C,C2,Personnel Specialist,7 years,MORTGAGE,47364,Source Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,24.68,Jul-01,9,0,5421,40.8,15,f,INDIVIDUAL,2,0,"34572 David Lakes Apt. 357
East Tyler, AL 30723"
2500, 36 months,10.74,81.54,B,B2,stevens point police department,10+ years,MORTGAGE,55000,Not Verified,Jun-12,Fully Paid,credit_card,credit reduction,21.2,Jan-94,7,0,16263,78.2,30,f,INDIVIDUAL,4,0,"682 Kayla Forest Suite 032
West Ericafort, UT 00813"
2000, 36 months,11.53,65.99,B,B5,Analyst Management,10+ years,MORTGAGE,102000,Not Verified,Apr-15,Fully Paid,home_improvement,Home improvement,22.76,Jan-05,14,0,25156,61.7,29,w,INDIVIDUAL,2,0,"849 Gregory Fall
New Linda, FL 00813"
7800, 36 months,11.55,257.4,B,B3,Kroger Co,10+ years,RENT,40000,Not Verified,Jul-13,Charged Off,debt_consolidation,consolidate bills,10.08,Jan-07,7,0,13674,76.4,13,f,INDIVIDUAL,0,0,"Unit 8547 Box 2436
DPO AP 48052"
2400, 36 months,8.67,75.96,B,B1,Regular city carrier,5 years,MORTGAGE,61500,Not Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,16.39,Jan-10,12,0,6999,55.1,20,w,INDIVIDUAL,2,0,"59376 Tyler Mountain
West Nichole, VT 05113"
15000, 36 months,13.11,506.21,B,B4,Capital Group,10+ years,RENT,66900,Verified,Mar-13,Fully Paid,debt_consolidation,My Payoff Loan,15.07,Mar-87,11,0,8325,43.6,15,f,INDIVIDUAL,0,0,"0100 Singh Green Apt. 105
Garybury, MS 00813"
8000, 36 months,12.49,267.6,B,B4,instructor,6 years,MORTGAGE,50000,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,20.91,Aug-08,10,0,8131,46.7,15,w,INDIVIDUAL,1,0,"389 Solis Key Suite 522
Sweeneyburgh, VA 22690"
12500, 36 months,12.12,415.9,B,B3,JSC Transortation,2 years,RENT,45000,Not Verified,Sep-12,Charged Off,debt_consolidation,Debt Consol,11.04,Feb-97,10,0,13936,51.8,20,f,INDIVIDUAL,1,0,"137 Jefferson Fork Suite 808
Hawkinsside, NV 70466"
8000, 36 months,11.67,264.46,B,B4,Dental asst,10+ years,RENT,48000,Not Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,27.73,Apr-98,4,0,3071,68.2,21,w,INDIVIDUAL,0,0,"640 Mary Heights
Lake Matthew, AL 48052"
18000, 36 months,7.89,563.15,A,A5,truck driver,7 years,MORTGAGE,87000,Verified,Mar-15,Charged Off,debt_consolidation,Debt consolidation,17.44,Oct-86,15,0,6972,40.3,30,w,INDIVIDUAL,2,0,"58512 James Crossroad Suite 006
Richardsonland, AK 30723"
8000, 36 months,13.99,273.39,C,C3,RN,9 years,MORTGAGE,100000,Verified,Jun-16,Fully Paid,other,Other,22.79,Nov-04,22,0,14525,23.8,36,w,INDIVIDUAL,3,0,"USS Clark
FPO AE 00813"
9500, 36 months,7.62,296.04,A,A3,Cook County Government,3 years,OWN,37000,Source Verified,Mar-12,Fully Paid,home_improvement,Home renovation,24.78,Mar-02,9,0,6934,67.3,22,f,INDIVIDUAL,0,0,"3268 Neal Port Apt. 997
Port Nicholasburgh, IA 30723"
12000, 36 months,13.11,404.97,B,B4,ASRT,4 years,MORTGAGE,142000,Not Verified,Jul-12,Fully Paid,debt_consolidation,Consolidation1,18.71,Jul-93,11,0,41627,61.4,44,f,INDIVIDUAL,7,0,"022 James Ways
Port Jonathan, PA 48052"
10000, 36 months,11.14,328.06,B,B2,united states postal service,5 years,MORTGAGE,58000,Source Verified,Dec-12,Fully Paid,credit_card,cc refinance,8.57,Jul-99,14,0,16354,58,28,w,INDIVIDUAL,1,0,"3636 Kelley Camp Apt. 787
Pamelaville, ME 70466"
12000, 60 months,13.49,276.06,C,C2,Ag Teacher,2 years,MORTGAGE,61000,Source Verified,Oct-16,Fully Paid,debt_consolidation,Debt consolidation,27.46,Mar-07,17,0,4518,29.9,20,w,INDIVIDUAL,1,0,"837 Stevens Shores Suite 778
South Gloria, TX 29597"
24000, 36 months,8.59,758.63,A,A5,Owner ,10+ years,OWN,98000,Not Verified,Jul-16,Fully Paid,debt_consolidation,Debt consolidation,26.34,Aug-89,23,0,19793,33.8,49,f,INDIVIDUAL,1,0,"59772 Hernandez Isle
Nancyberg, MN 70466"
5825, 36 months,10.64,189.72,B,B2,Northwestern Medical Faculty Foundation,2 years,RENT,35000,Not Verified,Jul-13,Fully Paid,debt_consolidation,Pay Down the Cards,6.41,Oct-99,9,0,6197,31,15,f,INDIVIDUAL,1,0,"210 Jones Ridge Suite 336
Kristinemouth, WA 00813"
2850, 36 months,15.31,99.23,C,C5,Supervisor,2 years,RENT,57000,Source Verified,Feb-16,Fully Paid,credit_card,Credit card refinancing,11.41,Feb-94,5,1,2377,76.7,12,f,INDIVIDUAL,1,1,"068 Peters Curve Apt. 810
Christopherfort, NH 70466"
28000, 36 months,8.18,879.75,B,B1,Executive Director,2 years,MORTGAGE,250000,Source Verified,Oct-15,Fully Paid,debt_consolidation,Debt consolidation,19.76,Apr-99,15,0,111133,82.4,27,w,INDIVIDUAL,4,0,"46182 Adam Centers Suite 528
Alexanderland, TX 30723"
25000, 60 months,16.99,621.18,D,D3,General Manager,8 years,MORTGAGE,87000,Verified,Mar-15,Fully Paid,debt_consolidation,Debt consolidation,18.57,Oct-95,20,2,27217,58.5,31,w,INDIVIDUAL,1,0,"43999 Mccoy Flat
Matthewmouth, AK 00813"
12800, 36 months,9.16,408,B,B2,,,RENT,72000,Verified,Mar-16,Fully Paid,car,Car financing,15.5,Aug-03,6,1,2426,27,15,w,INDIVIDUAL,1,1,"623 Kelly River
Port Nicoleshire, CT 05113"
8000, 36 months,15.31,278.54,C,C4,,,RENT,22050,Verified,Apr-14,Fully Paid,debt_consolidation,Debt consolidation,25.75,Jul-05,8,0,4030,56,15,w,INDIVIDUAL,0,0,"1630 Daniel Burgs
Russellland, CO 30723"
11200, 60 months,13.33,256.74,C,C3,manager,4 years,MORTGAGE,65000,Source Verified,Apr-15,Fully Paid,credit_card,Credit card refinancing,10.32,Mar-97,13,0,6247,18.8,35,w,INDIVIDUAL,0,0,"Unit 5995 Box 0595
DPO AA 30723"
1000, 36 months,13.67,34.02,B,B5,Superfund Asset Management,< 1 year,RENT,50000,Source Verified,Jul-12,Fully Paid,debt_consolidation,Lowering My Interest Rate,13.58,May-07,15,0,6431,33.5,19,f,INDIVIDUAL,0,0,"79864 Colin Isle
Jamesbury, KY 30723"
24000, 60 months,23.28,680.44,F,F2,,,RENT,55007,Verified,Jun-13,Fully Paid,credit_card,My 5-year plan to being debt free!,31.5,Sep-04,14,0,21651,84.2,23,w,INDIVIDUAL,0,0,"72473 Megan Drives
Port Jessicamouth, AL 22690"
3900, 36 months,14.64,134.51,C,C3,electrician,10+ years,OWN,70000,Not Verified,Apr-14,Fully Paid,debt_consolidation,Debt consolidation,16.1,Dec-93,8,0,10005,61,20,f,INDIVIDUAL,2,0,"536 Castro Inlet Suite 439
West Gina, AL 22690"
15000, 36 months,7.69,467.91,A,A4,Electrician,3 years,MORTGAGE,90000,Source Verified,Sep-14,Charged Off,credit_card,Credit card refinancing,13.15,Jun-02,12,1,10064,63.3,19,w,INDIVIDUAL,2,1,"8791 Harvey Circles Apt. 465
South Lauraview, KS 93700"
3800, 36 months,18.25,137.86,E,E1,certified ophthal. assistant,10+ years,MORTGAGE,54000,Verified,Mar-15,Fully Paid,debt_consolidation,Debt consolidation,14.07,Jun-90,16,1,4927,36.2,56,f,INDIVIDUAL,5,1,"441 Hoffman Lights
Sarahton, MD 22690"
20000, 60 months,15.61,482.23,D,D1,sales support,10+ years,MORTGAGE,60000,Source Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,32.38,Apr-88,18,0,43243,68.4,40,w,INDIVIDUAL,4,0,"8121 Heather Meadows
Scottside, MT 00813"
21000, 36 months,6.03,639.15,A,A1,Toyota Tsusho,10+ years,OWN,495000,Source Verified,May-13,Fully Paid,house,home improvements,0,Jul-82,5,0,0,0,26,w,INDIVIDUAL,2,0,"6883 Miller Square
Valdezburgh, CT 29597"
3600, 36 months,8.67,113.93,B,B1,Marketing Manager,< 1 year,OWN,80000,Not Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,10.88,Jun-89,12,0,8946,48.4,31,f,INDIVIDUAL,3,0,"833 Joshua Garden
Harryfurt, CT 30723"
18000, 60 months,14.98,428.03,C,C3,Programmer/Analyst,10+ years,MORTGAGE,83000,Source Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,16.57,Apr-95,11,0,17690,66.8,32,w,INDIVIDUAL,3,0,"6135 Nelson Orchard Apt. 683
Port Hannah, LA 70466"
3250, 60 months,11.99,72.28,B,B5,sarah tuxis,3 years,MORTGAGE,48000,Verified,Jun-11,Charged Off,car,buissness,13.2,Apr-04,8,1,2670,38.7,13,f,INDIVIDUAL,,0,"3293 Miller Glen Apt. 905
Chapmantown, NV 70466"
15000, 36 months,14.33,515.08,C,C1,BOCC-Polk County,10+ years,RENT,39000,Not Verified,Apr-13,Fully Paid,credit_card,Credit card refinancing,23.35,Nov-98,6,1,11063,60.8,21,f,INDIVIDUAL,0,1,"PSC 3891, Box 4247
APO AA 30723"
5000, 36 months,14.99,173.31,C,C5,Officer,9 years,MORTGAGE,59000,Source Verified,Oct-14,Fully Paid,other,Other,16.72,Oct-02,8,1,7273,68.6,29,w,INDIVIDUAL,2,1,"38026 Louis Forks
Mooneyport, AR 70466"
20000, 60 months,18.49,513.22,D,D2,Federal Public Defender,10+ years,MORTGAGE,130000,Verified,Aug-12,Fully Paid,credit_card,Card Card Payoff,7.94,Apr-98,12,0,18275,64.3,31,f,INDIVIDUAL,5,0,"01524 Shaw Gardens Apt. 846
Lake Justin, WA 48052"
6000, 36 months,17.57,215.63,D,D2,Correction Officer,10+ years,RENT,80000,Source Verified,Apr-14,Fully Paid,debt_consolidation,Debt consolidation,14.16,Aug-97,5,0,4411,78.8,22,w,INDIVIDUAL,0,0,"563 Michael Cape Suite 406
Marshshire, NV 48052"
24725, 60 months,25.44,732.11,F,F2,Chief Steward ,6 years,MORTGAGE,85000,Not Verified,Jun-16,Fully Paid,other,Other,17.55,Mar-04,18,0,13212,24.8,30,w,INDIVIDUAL,2,0,"7801 Long Island Apt. 714
South Stephaniebury, IN 30723"
12000, 60 months,13.99,279.16,C,C4,Quality Assurance Supervisior,10+ years,RENT,36000,Source Verified,Jun-15,Charged Off,credit_card,Credit card refinancing,22.4,Apr-97,11,1,5901,40.1,16,w,INDIVIDUAL,0,0,"754 Clark Green Apt. 120
Juliaville, MO 48052"
12000, 36 months,9.71,385.58,B,B1,State of CA,10+ years,MORTGAGE,96000,Not Verified,Aug-13,Fully Paid,home_improvement,Fix my House,7.21,Dec-90,8,0,9573,67.4,24,f,INDIVIDUAL,6,0,"405 Reese Rapid Apt. 036
Davisshire, NJ 70466"
30000, 36 months,16.2,1057.68,C,C4,GE,10+ years,MORTGAGE,75000,Verified,Sep-13,Fully Paid,credit_card,Credit Cards,23.25,Jun-97,13,0,23032,89.3,27,f,INDIVIDUAL,4,0,"88600 Matthew Inlet
Erinborough, AL 00813"
4000, 36 months,16.49,141.6,D,D3,front desk,1 year,MORTGAGE,41000,Source Verified,Dec-14,Fully Paid,home_improvement,Home improvement,5.3,May-97,8,0,7303,46.5,20,w,INDIVIDUAL,0,0,"57499 Tiffany Wells Apt. 978
New Brianbury, DE 48052"
15000, 36 months,15.61,524.48,D,D1,Contract Specialist,7 years,MORTGAGE,71500,Source Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,11.75,Oct-03,9,0,5448,41.9,30,f,INDIVIDUAL,5,0,"589 Larry Roads Suite 021
Laurenberg, TN 22690"
24000, 60 months,19.24,625.75,E,E2,Officer,10+ years,RENT,120000,Source Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,11.38,May-94,14,0,23427,84,28,f,INDIVIDUAL,0,0,"9084 Michael Harbors
New Jonathan, AK 05113"
23400, 36 months,24.11,919.41,F,F2,Sr. Desktop Technician,10+ years,RENT,65000,Verified,Feb-16,Charged Off,other,Other,23.25,Apr-96,6,1,1676,26.6,16,f,INDIVIDUAL,4,1,"9568 Bowman Circle Suite 755
East Christopherhaven, SC 30723"
